Item,Type,StatusIndicators,State,Notes,Dependencies
evo_tactics_merged_final.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_param_synergy_v8_3.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
evo_tactics_tables_v8_3.xlsx,.xlsx,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
EvoTactics_DevKit.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
EvoTactics_FullRepo_v1.0.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
FEATURE_MAP_EVO_TACTICS.md,.md,,Informativo,Feature map aggiornata con TODO playtest-needed; usare come riferimento roadmap.,
GAME_COMPAT_README.md,.md,,Da integrare,Guida integrazione hook Enneagramma nel repo Game; azioni pendenti su validazioni STAT/EVENTI.,Team Engine/Game
game_repo_map.json,.json,,Pronto,Mappa dei file chiave del repo Game; utile per onboarding core team.,
generator.html,.html,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
hook_bindings.ts,.ts,,Da integrare,Adapter TypeScript per hook Enneagramma; richiede collegamento a engine e compat_map aggiornato.,Team Engine (binding eventi/stat)
IDEA-001_ecosistema_template.yaml,.yaml,,Template,Schema ecosistema generico; personalizzare prima della produzione.,
idea_catalog.csv,.csv,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
idea_intake_site_package.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
Img,directory,,Da valutare,Asset grafici (MBTI/Enneagramma); definire licenze e compressione.,Team Arte
index (1).html,.html,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
index.html,.html,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
Inserisci questi parametri nella tabella e dammi i....docx,.docx,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
last_report.html,.html,last_report.json,Bloccato,Report ultimo ingest con errori ecosistemi; vedi last_report.json per dettagli.,Dataset ecosistemi (file mancanti)
last_report.json,.json,,Bloccato,Validazioni fallite: mancano file biomi/ecosistemi in percorso estratto.,Team Dati Ecosistemi
logs_48354746845.zip,.zip,,Da valutare,Nessun file di stato rilevato; richiede triage manuale.,
MODELLI_RIF_EVO_TACTICS.md,.md,,Informativo,Toolkit modelli di design; nessuna azione immediata.,
pack_biome_jobs_v8_alt.json,.json,,Da valutare,Spawn pack alternativo (v8 alt); richiede verifica bilanciamento prima di uso.,
pathfinder,directory,,Da valutare,Contiene indice bestiario Pathfinder 1e; definire processo di import.,Team Lore/Regole
personality_module.v1.json,.json,,Bozza,Modulo meccanico Enneagramma v1.0.0-draft; effetti in beta fino a playtest.,Team Bilanciamento
README.md,.md,,Informativo,Istruzioni generali su script report_incoming; nessuna azione.,
README_INTEGRAZIONE_MECCANICHE.md,.md,,Informativo,Note su integrazione meccaniche/compat_map; attendere dati definitivi.,Team Engine/Game
README_SCAN_STAT_EVENTI.md,.md,,Da integrare,Procedura per scanner STAT/EVENTI; prossimo passo eseguire script e aggiornare compat_map.,Team Engine/Game
recon_meccaniche.json,.json,,Informativo,Ricognizione asset esterni (GitHub/GDrive); segnala dipendenze extra-team.,"Team Esterni (Item-generator, GDrive)"
scan_engine_idents.py,.py,,Pronto,Script operativo per individuare STAT/EVENTI nel codice.,
sensienti_traits_v0.1.yaml,.yaml,,Bozza,Tier sensienti con placeholder codici neuroni; necessita verifica mapping.,Team Ancestors (codici neuroni)
species_index.html,.html,,Bloccato,UI indice specie richiede file catalog_data.json non presente.,Esport catalog_data.json
