biome_class,ecotype_id,ecotype_label,legacy_biome_affinity,legacy_default_slot_count,legacy_default_slots,legacy_species_id,legacy_trait_slugs_count,legacy_traits_missing_in_evo,mapped_trait_slugs_count,matched_legacy_biome_count,matched_legacy_biome_ids,matched_legacy_biome_labels,notes,sentience_index,shared_trait_slugs_count,species_scientific_name,species_slug,terraforming_band_slots,terraforming_max_slots,terraforming_stable_bands,trait_refs_count,trait_refs_missing_in_legacy,unknown_trait_refs,unresolved_ecosystems_count
acquatico_dolce,PRP-ECO1,Stagno Quieto,acquatico_dolce,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,proteus_plasma,5,,5,1,palude,Stagno Palustre Legacy,Allineato a biome legacy acquatico_dolce,T0,5,Proteus plasma,proteus_plasma,0;1;2;3,3,3,5,,,0
acquatico_dolce,PRP-ECO2,Torrente Lento,acquatico_dolce,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,proteus_plasma,5,,5,1,palude,Torrente Palustre Legacy,Allineato a biome legacy acquatico_dolce,T0,5,Proteus plasma,proteus_plasma,0;1;2;3,3,3,5,,,0
terrestre_montano,RUS-ECO1,Cenge Calcarenitiche,terrestre_montano,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,rupicapra_sensoria,5,,5,1,cryosteppe,Cryosteppe Magnetica,,T2,5,Rupicapra sensoria,rupicapra_sensoria,0;1;2;3,3,3,5,,,0
terrestre_montano,RUS-ECO2,Dorsali Ventose,terrestre_montano,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,rupicapra_sensoria,5,,5,1,cryosteppe,Cryosteppe Magnetica,,T2,5,Rupicapra sensoria,rupicapra_sensoria,0;1;2;3,3,3,5,,,0
terrestre_savanna,SPR-ECO1,Oasi Termica,terrestre_forestale,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,soniptera_resonans,5,,5,1,deserto_caldo,Deserto Caldo Vetrificato,,T1,5,Soniptera resonans,soniptera_resonans,0;1;2;3,3,3,5,,,0
terrestre_savanna,SPR-ECO2,Prateria Arbustiva,terrestre_forestale,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,soniptera_resonans,5,,5,1,deserto_caldo,Deserto Caldo Vetrificato,,T1,5,Soniptera resonans,soniptera_resonans,0;1;2;3,3,3,5,,,0
terrestre_pianeggiante,TAM-ECO1,Pianure Ventose,terrestre_pianeggiante,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,terracetus_ambulator,5,,5,1,deserto_caldo,Deserto Caldo Vetrificato,,T0,5,Terracetus ambulator,terracetus_ambulator,0;1;2;3,3,3,5,,,0
terrestre_savanna,TAM-ECO2,Savanicola Notturno,terrestre_pianeggiante,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,terracetus_ambulator,5,,5,1,deserto_caldo,Deserto Caldo Vetrificato,,T0,5,Terracetus ambulator,terracetus_ambulator,0;1;2;3,3,3,5,,,0
terrestre_forestale,UMA-ECO1,Canopy Ombrosa,terrestre_umido,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,umbra_alaris,5,,5,1,foresta_temperata,Foresta Temperata Demo,,T1,5,Umbra alaris,umbra_alaris,0;1;2;3,3,3,5,,,0
terrestre_roccioso,UMA-ECO2,Canyon Notturno,terrestre_umido,10,locomotion;locomotion:burrower;metabolism;metabolism:sand_digest;offense;offense:sand_claws;defense;defense:heat_scales;senses;senses:echolocation,umbra_alaris,5,,5,1,badlands,Brulle Terre Ferrose,,T1,5,Umbra alaris,umbra_alaris,0;1;2;3,3,3,5,,,0
