id,label,famiglia_macro,famiglia_micro,tier,slot_core,slot_complementare,slot_codes,biomi,fonti_ambientali,expansion
sinapsi_coraline_polifoniche,Sinapsi Coraline Polifoniche,Simbiotico,Comunicazione,T2,simbiotico,comunicazione,,barriere_coralline_psioniche,env_to_traits,controllo_psionico
spore_psichiche_silenziate,Spora Psichica Silenziosa,Escretorio,Psichico,T1,escretorio,psichico,,caverna_risonante,env_to_traits,controllo_psionico
squame_rifrangenti_deserto,Squame Rifrangenti del Deserto,Tegumentario,Difensivo,T2,tegumentario,difensivo,,dune_cristalline,env_to_traits,controllo_psionico
struttura_elastica_amorfa,"Struttura elastica, allungabile, amorfa, retrattile",Strutturale,Locomotorio,T1,strutturale,locomotorio,,canopia_psionica_leggera;falde_magnetiche_psioniche,env_to_traits,controllo_psionico
tattiche_di_branco,Tattiche di Branco,Strategico,Tattico,T1,strategia,coordinazione,B,,,
random,Trait Random,Flessibile,Generico,T1,strategia,adattivo,A B,,,
nucleo_ovomotore_rotante,"Uovo rotaia, uovo grande e uova piccole dentro...",Riproduttivo,Locomotorio,T1,riproduttivo,locomotorio,,caverna_risonante,env_to_traits,controllo_psionico
vello_condensatore_nebbie,Vello Condensatore di Nebbie,Tegumentario,Idratazione,T1,tegumentario,idratazione,,foreste_nubose,env_to_traits,controllo_psionico
zampe_a_molla,Zampe a Molla,Mobilità,Cinetico,T1,locomotorio,propulsione,A B,,,
zoccoli_risonanti_steppe,Zoccoli Risonanti delle Steppe,Locomotorio,Supporto,T1,locomotorio,supporto,,steppe_risonanti,env_to_traits,controllo_psionico
